origine,destination,type,adultes,date_aller,date_retour,prix_dzd,places,aller_dep,aller_arr,aller_stops,aller_duree,retour_dep,retour_arr,retour_stops,retour_duree
ALG,CDG,OW,1,2026-08-01,,"30 250,00",0,07:15,Paris,"Direct",10:45,,,,
ALG,CDG,OW,1,2026-08-01,,"30 250,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"30 250,00",0,08:00,Paris,"Direct",11:30,,,,
ALG,CDG,OW,1,2026-08-01,,"30 250,00",0,15:30,Paris,"Direct",19:00,,,,
ALG,CDG,OW,1,2026-08-01,,"30 250,00",0,16:40,Paris,"Direct",20:10,,,,
ALG,CDG,OW,1,2026-08-01,,"30 276,00",6,11:10,20:40,"2 Stops",27h 55m,,,,
ALG,CDG,OW,1,2026-08-01,,"30 276,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"30 276,00",2,11:10,20:40,"2 Stops",27h 55m,,,,
ALG,CDG,OW,1,2026-08-01,,"32 880,00",0,13:15,Paris,"Direct",16:45,,,,
ALG,CDG,OW,1,2026-08-01,,"32 880,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"32 880,00",0,18:00,Paris,"Direct",21:30,,,,
ALG,CDG,OW,1,2026-08-01,,"32 880,00",6,15:50,Paris,"Direct",19:20,,,,
ALG,CDG,OW,1,2026-08-01,,"32 961,00",4,04:25,23:40,"1 Stop",14h 20m,,,,
ALG,CDG,OW,1,2026-08-01,,"32 961,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"33 128,00",3,04:25,16:00,"2 Stops",6h 5m,,,,
ALG,CDG,OW,1,2026-08-01,,"33 128,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"33 128,00",0,11:10,20:40,"2 Stops",27h 55m,,,,
ALG,CDG,OW,1,2026-08-01,,"34 517,00",0,17:20,Paris,"Direct",20:55,,,,
ALG,CDG,OW,1,2026-08-01,,"34 517,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"35 501,00",0,11:45,11:35,"1 Stop",15h 30m,,,,
ALG,CDG,OW,1,2026-08-01,,"35 501,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"35 501,00",0,11:45,16:25,"1 Stop",20h 20m,,,,
ALG,CDG,OW,1,2026-08-01,,"36 323,00",2,04:25,17:20,"1 Stop",8h 0m,,,,
ALG,CDG,OW,1,2026-08-01,,"36 323,00",0,?,?,"?",?,,,,
ALG,CDG,OW,1,2026-08-01,,"36 323,00",7,11:10,10:45,"1 Stop",18h 35m,,,,
ALG,CDG,OW,1,2026-08-01,,"37 376,00",4,11:10,16:00,"2 Stops",23h 15m,,,,
ALG,CDG,OW,1,2026-08-01,,"37 376,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"60 500,00",0,07:15,Paris,"Direct",10:45,,,,
ALG,CDG,OW,2,2026-08-01,,"60 500,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"60 500,00",0,08:00,Paris,"Direct",11:30,,,,
ALG,CDG,OW,2,2026-08-01,,"60 500,00",0,15:30,Paris,"Direct",19:00,,,,
ALG,CDG,OW,2,2026-08-01,,"60 500,00",0,16:40,Paris,"Direct",20:10,,,,
ALG,CDG,OW,2,2026-08-01,,"60 552,00",6,11:10,20:40,"2 Stops",27h 55m,,,,
ALG,CDG,OW,2,2026-08-01,,"60 552,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"60 552,00",2,11:10,20:40,"2 Stops",27h 55m,,,,
ALG,CDG,OW,2,2026-08-01,,"65 760,00",0,13:15,Paris,"Direct",16:45,,,,
ALG,CDG,OW,2,2026-08-01,,"65 760,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"65 760,00",0,18:00,Paris,"Direct",21:30,,,,
ALG,CDG,OW,2,2026-08-01,,"65 760,00",6,15:50,Paris,"Direct",19:20,,,,
ALG,CDG,OW,2,2026-08-01,,"65 922,00",4,04:25,23:40,"1 Stop",14h 20m,,,,
ALG,CDG,OW,2,2026-08-01,,"65 922,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"66 256,00",3,04:25,16:00,"2 Stops",6h 5m,,,,
ALG,CDG,OW,2,2026-08-01,,"66 256,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"66 256,00",0,11:10,20:40,"2 Stops",27h 55m,,,,
ALG,CDG,OW,2,2026-08-01,,"69 034,00",0,17:20,Paris,"Direct",20:55,,,,
ALG,CDG,OW,2,2026-08-01,,"69 034,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"71 002,00",0,11:45,11:35,"1 Stop",15h 30m,,,,
ALG,CDG,OW,2,2026-08-01,,"71 002,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"71 002,00",0,11:45,16:25,"1 Stop",20h 20m,,,,
ALG,CDG,OW,2,2026-08-01,,"72 646,00",0,04:25,10:45,"1 Stop",1h 25m,,,,
ALG,CDG,OW,2,2026-08-01,,"72 646,00",0,?,?,"?",?,,,,
ALG,CDG,OW,2,2026-08-01,,"72 646,00",2,04:25,17:20,"1 Stop",8h 0m,,,,
ALG,CDG,OW,2,2026-08-01,,"72 646,00",7,11:10,10:45,"1 Stop",18h 35m,,,,
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",1,07:15,Paris,"Direct",10:45,18:30,19:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,?,?,"?",?,?,?,"?",?
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",1,08:00,Paris,"Direct",11:30,18:30,19:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",1,15:30,Paris,"Direct",19:00,18:30,19:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",1,16:40,Paris,"Direct",20:10,18:30,19:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,07:15,Paris,"Direct",10:45,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,07:15,Paris,"Direct",10:45,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,07:15,Paris,"Direct",10:45,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,08:00,Paris,"Direct",11:30,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,08:00,Paris,"Direct",11:30,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,08:00,Paris,"Direct",11:30,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,15:30,Paris,"Direct",19:00,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,15:30,Paris,"Direct",19:00,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,15:30,Paris,"Direct",19:00,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,16:40,Paris,"Direct",20:10,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,16:40,Paris,"Direct",20:10,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"42 604,00",0,16:40,Paris,"Direct",20:10,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"44 614,00",2,07:00,17:10,"1 Stop",5h 50m,18:30,19:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"44 614,00",0,?,?,"?",?,?,?,"?",?
ALG,CDG,RT,1,2026-08-01,2026-08-08,"44 614,00",2,07:00,17:10,"1 Stop",5h 50m,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"44 614,00",2,07:00,17:10,"1 Stop",5h 50m,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,1,2026-08-01,2026-08-08,"44 614,00",2,07:00,17:10,"1 Stop",5h 50m,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,07:15,Paris,"Direct",10:45,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,?,?,"?",?,?,?,"?",?
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,07:15,Paris,"Direct",10:45,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,07:15,Paris,"Direct",10:45,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,08:00,Paris,"Direct",11:30,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,08:00,Paris,"Direct",11:30,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,08:00,Paris,"Direct",11:30,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,15:30,Paris,"Direct",19:00,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,15:30,Paris,"Direct",19:00,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,15:30,Paris,"Direct",19:00,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,16:40,Paris,"Direct",20:10,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,16:40,Paris,"Direct",20:10,20:35,21:50,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"85 208,00",0,16:40,Paris,"Direct",20:10,21:40,22:55,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"89 228,00",2,07:00,17:10,"1 Stop",5h 50m,18:30,19:45,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"89 228,00",0,?,?,"?",?,?,?,"?",?
ALG,CDG,RT,2,2026-08-01,2026-08-08,"89 228,00",2,07:00,17:10,"1 Stop",5h 50m,20:30,21:45,"(CDG)",Direct
ALG,CDG,RT,2,2026-08-01,2026-08-08,"89 228,00",2,07:00,17:10,"1 Stop",5h 50m,20:35,21:50,"(CDG)",Direct
